state_fips,district,income,avg_income_ALL,pre-tcja-tax,current-law-tax,total_returns
6,47,2,36019.0,33997.0,35019.0,786092.0
6,47,3,61427.0,51676.0,52913.0,410283.0
6,47,4,86591.0,71160.0,72780.0,254495.0
6,47,5,137897.0,110458.0,112749.0,388911.0
6,47,6,596497.0,436286.0,458698.0,182028.0
6,48,0,5247.0,5445.0,5462.0,195710.0
6,48,1,17251.0,18343.0,18486.0,308060.0
6,48,2,36095.0,34047.0,35053.0,323930.0
6,48,3,61546.0,51880.0,53093.0,182990.0
6,48,4,86781.0,71629.0,73205.0,125090.0
6,48,5,139180.0,111925.0,114164.0,225050.0
6,48,6,541412.0,396551.0,420907.0,112550.0
6,49,0,5317.0,5534.0,5552.0,191621.0
6,49,1,17350.0,18421.0,18562.0,324234.0
6,49,2,36161.0,33990.0,34999.0,354321.0
6,49,3,61496.0,51806.0,53062.0,197909.0
6,49,4,86692.0,71563.0,73194.0,131764.0
6,49,5,137946.0,110855.0,113153.0,220893.0
6,49,6,494750.0,365089.0,388007.0,96240.0
6,50,0,5358.0,5589.0,5607.0,184347.0
6,50,1,17365.0,18480.0,18620.0,321514.0
6,50,2,36153.0,34026.0,35042.0,351459.0
6,50,3,61484.0,51953.0,53231.0,195241.0
6,50,4,86656.0,71616.0,73236.0,128953.0
6,50,5,137271.0,110371.0,112659.0,209440.0
6,50,6,469701.0,348027.0,370233.0,84816.0
6,51,0,5494.0,5805.0,5825.0,153733.0
6,51,1,17248.0,18734.0,18869.0,267062.0
6,51,2,35979.0,34220.0,35272.0,292786.0
6,51,3,61362.0,52060.0,53407.0,162434.0
6,51,4,86672.0,71839.0,73597.0,107209.0
6,51,5,136216.0,109692.0,112083.0,175312.0
6,51,6,468074.0,346199.0,368683.0,72377.0
6,52,0,5339.0,5563.0,5581.0,190300.0
6,52,1,17382.0,18446.0,18587.0,329460.0
6,52,2,36182.0,33971.0,34982.0,364140.0
6,52,3,61480.0,51783.0,53053.0,202730.0
6,52,4,86663.0,71542.0,73191.0,133920.0
6,52,5,137547.0,110509.0,112826.0,219550.0
6,52,6,479673.0,354924.0,377377.0,90970.0
6,53,0,5339.0,5563.0,5581.0,190300.0
6,53,1,17382.0,18446.0,18587.0,329460.0
6,53,2,36182.0,33971.0,34982.0,364140.0
6,53,3,61480.0,51783.0,53053.0,202730.0
6,53,4,86663.0,71542.0,73191.0,133920.0
6,53,5,137547.0,110509.0,112826.0,219550.0
6,53,6,479673.0,354924.0,377377.0,90970.0
8,1,0,5331.0,5549.0,5569.0,38275.0
8,1,1,17473.0,18210.0,18370.0,67376.0
