,gross_income,employee_payroll_tax,employer_payroll_tax,ordinary_income_after_401k,agi_before_business_income_deduction,agi,taxable_income,deduction_type,deductions,personal_exemption_amt,pease_limitation_amt,income_tax_before_credits,qualified_income_tax,selected_tax_before_credits,amt,income_tax_before_credits_with_amt,ctc,actc,eitc,income_tax_after_nonrefundable_credits,income_tax_after_credits,tax_burden,tax_wedge,avg_effective_tax_rate,avg_effective_tax_rate_wo_payroll
93,940.0,53.932500000000005,53.932500000000005,705.0,705.0,898.875,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,282.0,0.0,-282.0,-228.07,-174.13,-0.2426,-0.3
94,950.0,54.506249999999994,54.506249999999994,712.5,712.5,908.4375,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,285.0,0.0,-285.0,-230.49,-175.99,-0.2426,-0.3
95,960.0,55.08,55.08,720.0,720.0,918.0,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,288.0,0.0,-288.0,-232.92,-177.84,-0.2426,-0.3
96,970.0,55.653749999999995,55.653749999999995,727.5,727.5,927.5625,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,291.0,0.0,-291.0,-235.35,-179.69,-0.2426,-0.3
97,980.0,56.2275,56.2275,735.0,735.0,937.125,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,294.0,0.0,-294.0,-237.77,-181.55,-0.2426,-0.3
98,990.0,56.801249999999996,56.801249999999996,742.5,742.5,946.6875,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,297.0,0.0,-297.0,-240.2,-183.4,-0.2426,-0.3
99,1000.0,57.375,57.375,750.0,750.0,956.25,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,300.0,0.0,-300.0,-242.62,-185.25,-0.2426,-0.3
100,1010.0,57.94875,57.94875,757.5,757.5,965.8125,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,303.0,0.0,-303.0,-245.05,-187.1,-0.2426,-0.3
101,1020.0,58.5225,58.5225,765.0,765.0,975.375,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,306.0,0.0,-306.0,-247.48,-188.95,-0.2426,-0.3
102,1030.0,59.096250000000005,59.096250000000005,772.5,772.5,984.9375,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,309.0,0.0,-309.0,-249.9,-190.81,-0.2426,-0.3
103,1040.0,59.67,59.67,780.0,780.0,994.5,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,312.0,0.0,-312.0,-252.33,-192.66,-0.2426,-0.3
104,1050.0,60.243750000000006,60.243750000000006,787.5,787.5,1004.0625,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,315.0,0.0,-315.0,-254.76,-194.51,-0.2426,-0.3
105,1060.0,60.817499999999995,60.817499999999995,795.0,795.0,1013.625,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,318.0,0.0,-318.0,-257.18,-196.37,-0.2426,-0.3
106,1070.0,61.39125,61.39125,802.5,802.5,1023.1875,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,321.0,0.0,-321.0,-259.61,-198.22,-0.2426,-0.3
107,1080.0,61.965,61.965,810.0,810.0,1032.75,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,324.0,0.0,-324.0,-262.03,-200.07,-0.2426,-0.3
108,1090.0,62.53875,62.53875,817.5,817.5,1042.3125,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,327.0,0.0,-327.0,-264.46,-201.92,-0.2426,-0.3
109,1100.0,63.1125,63.1125,825.0,825.0,1051.875,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,330.0,0.0,-330.0,-266.89,-203.77,-0.2426,-0.3
110,1110.0,63.68625,63.68625,832.5,832.5,1061.4375,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,333.0,0.0,-333.0,-269.31,-205.63,-0.2426,-0.3
111,1120.0,64.26,64.26,840.0,840.0,1071.0,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,336.0,0.0,-336.0,-271.74,-207.48,-0.2426,-0.3
112,1130.0,64.83375000000001,64.83375000000001,847.5,847.5,1080.5625,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,339.0,0.0,-339.0,-274.17,-209.33,-0.2426,-0.3
113,1140.0,65.4075,65.4075,855.0,855.0,1090.125,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,342.0,0.0,-342.0,-276.59,-211.18,-0.2426,-0.3
114,1150.0,65.98125,65.98125,862.5,862.5,1099.6875,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,345.0,0.0,-345.0,-279.02,-213.04,-0.2426,-0.3
115,1160.0,66.55499999999999,66.55499999999999,870.0,870.0,1109.25,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,348.0,0.0,-348.0,-281.44,-214.89,-0.2426,-0.3
116,1170.0,67.12875,67.12875,877.5,877.5,1118.8125,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,351.0,0.0,-351.0,-283.87,-216.74,-0.2426,-0.3
117,1180.0,67.7025,67.7025,885.0,885.0,1128.375,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,354.0,0.0,-354.0,-286.3,-218.6,-0.2426,-0.3
