state_name,statefips,county_name,countyfips,totalrets,agi_stub,child_dep,avg_income_ALL,taxes_paid_ded,pre,post
NH,33,Merrimack,13,11170,7,1,134056,8513.50613915416,107404.3829187257,110796.01083032491
NH,33,Merrimack,13,2990,8,1,424413,19102.32558139535,315308.47192099364,336251.3636476245
NH,33,Rockingham,15,22630,2,1,4846,4740.776699029126,4961.418937025458,4973.731576596695
NH,33,Rockingham,15,24900,3,1,17227,5048.55072463768,16580.210855243633,16800.672413793105
NH,33,Rockingham,15,33370,4,1,36752,5512.643678160919,32280.883214284717,33060.256965944274
NH,33,Rockingham,15,23040,5,1,61811,6445.837615621789,51784.61961510642,53196.225301743405
NH,33,Rockingham,15,17430,6,1,86865,7704.752475247525,72060.47518721459,73953.7819988311
NH,33,Rockingham,15,31950,7,1,137277,10215.713134568896,109608.22813680625,112537.87184343433
NH,33,Rockingham,15,11500,8,1,432750,21616.634615384613,318796.4037767456,337174.19212670374
NH,33,Strafford,17,8350,2,1,5103,5010.0,5286.80387409201,5302.156174334141
NH,33,Strafford,17,11510,3,1,17474,4702.380952380952,16947.84801909073,17173.31532329495
NH,33,Strafford,17,15410,4,1,36330,5026.778242677824,31956.205866809338,32740.66980497646
NH,33,Strafford,17,9160,5,1,61704,5842.140468227424,51781.939885267035,53237.299663299666
NH,33,Strafford,17,6340,6,1,86632,6930.0675675675675,71953.82401116235,73971.52884615386
NH,33,Strafford,17,8610,7,1,134382,8917.176870748299,107182.5766754046,110578.44742990656
NH,33,Strafford,17,2000,8,1,392010,18185.795454545456,291066.2066331658,309592.1081407035
NH,33,Sullivan,19,3080,2,1,5017,4758.333333333334,5252.699346405229,5270.614379084967
NH,33,Sullivan,19,4120,3,1,17271,5348.387096774194,17153.410447761195,17404.16417910448
NH,33,Sullivan,19,5520,4,1,36367,5497.468354430381,32266.44570334889,33069.180790960454
NH,33,Sullivan,19,3210,5,1,61454,6031.818181818182,52046.0819424124,53540.52396166134
NH,33,Sullivan,19,2080,6,1,86317,7052.941176470588,72420.45903010033,74496.29951690823
NH,33,Sullivan,19,2510,7,1,131169,9413.333333333334,105890.5436897827,109347.76892430279
NH,33,Sullivan,19,630,8,1,508610,29496.07843137255,373918.3903200624,399305.074941452
NJ,34,Atlantic,1,20880,2,1,5290,5462.5,5547.781219748306,5564.389157792837
NJ,34,Atlantic,1,33160,3,2,17134,5033.608815426997,18701.17369078781,18828.898928024497
NJ,34,Atlantic,1,31880,4,1,35866,5633.821871476888,32136.090281489487,32946.16160310278
NJ,34,Atlantic,1,17330,5,1,61370,7176.5625,51700.36580845822,52995.82987551867
NJ,34,Atlantic,1,10880,6,1,86815,8915.32147742818,71984.57366280431,73738.98220973783
NJ,34,Atlantic,1,14720,7,1,133582,12767.885532591414,107515.56384566707,109700.02633822216
NJ,34,Atlantic,1,3430,8,1,399752,37478.208955223876,295769.048427462,315294.0312443561
NJ,34,Bergen,3,64180,2,1,4769,7493.816631130064,4902.736235999369,4924.740022085502
NJ,34,Bergen,3,70380,3,1,17021,7478.773584905661,17143.320077223663,17400.86404396876
NJ,34,Bergen,3,82930,4,1,36844,7640.964398377648,32931.763471491526,33698.65249721155
NJ,34,Bergen,3,60950,5,1,61806,9022.751322751323,51829.45852839611,53066.3758445946
NJ,34,Bergen,3,43700,6,1,86848,11172.37215909091,71498.38620608744,73130.41392285984
NJ,34,Bergen,3,84800,7,1,139739,16201.653231315753,112120.64092418361,113905.66178658068
NJ,34,Bergen,3,49950,8,1,555364,61421.2059482583,402555.43443581095,418383.90371815703
NJ,34,Burlington,5,29590,2,1,4951,5519.354838709677,5107.906356801093,5123.176349965824
NJ,34,Burlington,5,36900,3,1,17244,5433.140655105974,16873.626455158574,17099.7224681793
NJ,34,Burlington,5,46910,4,1,36794,5810.0392156862745,32477.226213928043,33259.319205298016
NJ,34,Burlington,5,33210,5,1,61700,7254.120397428404,51596.66315282116,52906.3717948718
NJ,34,Burlington,5,23300,6,1,86798,9229.879974731522,71662.22138391202,73386.79805996473
NJ,34,Burlington,5,39760,7,1,137319,13703.663423010876,110176.12582739128,112153.88972692571
NJ,34,Burlington,5,13570,8,1,398854,38752.28122662678,294789.06593003793,312180.1331746402
NJ,34,Camden,7,35240,2,1,5180,5964.8351648351645,5430.1994833524695,5447.835820895522
NJ,34,Camden,7,51810,3,2,17137,5686.569872958257,18393.858380542842,18524.777429467085
NJ,34,Camden,7,56270,4,2,36254,6048.86685552408,33515.14349054267,34526.971475589686
NJ,34,Camden,7,33620,5,1,61610,7674.2840778923255,51479.541820564955,52830.375539125074
NJ,34,Camden,7,22370,6,1,86728,9604.243191893604,71476.78115886498,73213.60989010989
NJ,34,Camden,7,34220,7,1,135623,13654.380764163372,108720.38028109989,110824.93340903004
NJ,34,Camden,7,10250,8,1,401308,40176.85459940653,296427.74191531626,314653.3296479092
NJ,34,Cape May,9,8000,2,1,5171,4939.2156862745105,5381.227272727272,5396.598484848485
NJ,34,Cape May,9,10850,3,1,17005,4630.8943089430895,16894.67641807836,17141.693896713616
NJ,34,Cape May,9,10840,4,1,36101,4909.893992932863,32518.351348741842,33324.50428163654
NJ,34,Cape May,9,6680,5,1,61791,6158.7859424920125,52554.09635736232,53932.503852080124
NJ,34,Cape May,9,4550,6,1,86807,7746.715328467153,72838.13304587788,74741.92152466367
NJ,34,Cape May,9,6310,7,1,134388,11295.1171875,109310.9470185263,112081.86782985576
NJ,34,Cape May,9,1820,8,1,426140,36934.65909090909,317873.49499119667,337132.0202780645
NJ,34,Cumberland,11,9600,2,2,5515,4015.0,5931.551106427819,5950.380400421496
NJ,34,Cumberland,11,17580,3,2,17304,3925.20325203252,19248.911861150806,19370.281430219147
NJ,34,Cumberland,11,18060,4,2,36033,4410.666666666667,33963.58950128253,35068.49572649573
NJ,34,Cumberland,11,9170,5,1,61326,5993.430656934306,51631.01461678021,53026.98206278027
NJ,34,Cumberland,11,5330,6,1,86287,7697.452229299362,71548.53339157585,73379.8358778626
NJ,34,Cumberland,11,6050,7,1,130451,11067.436974789916,105057.25565470471,107586.646179402
NJ,34,Cumberland,11,870,8,1,424760,38125.301204819276,311799.1240310077,327952.2052927025
NJ,34,Essex,13,56450,2,1,5273,6591.575091575091,5519.109397417504,5541.415710186514
NJ,34,Essex,13,86220,3,2,16929,5765.616797900262,19117.28002469048,19249.667137476463
NJ,34,Essex,13,83910,4,1,36204,5610.601427115189,32207.721032004516,33040.819471624265
NJ,34,Essex,13,45210,5,1,61207,7729.708353929807,51039.71800859399,52381.38486165104
NJ,34,Essex,13,26120,6,1,86419,10633.116883116883,70528.3126327546,72259.8128215275
NJ,34,Essex,13,40890,7,1,139216,16742.516147149676,111431.32862706012,113151.23969564444
NJ,34,Essex,13,27310,8,1,646292,71748.0533926585,464818.1179228496,478488.319108871
NJ,34,Gloucester,15,18810,2,1,5088,5662.135922330098,5280.415549597855,5294.067024128686
NJ,34,Gloucester,15,24520,3,1,17030,5610.932475884244,16719.92228474231,16949.825113966017
NJ,34,Gloucester,15,27730,4,1,36731,6149.169859514686,32432.14963691487,33219.23365527489
NJ,34,Gloucester,15,20430,5,1,61857,7625.367647058824,51816.677117009625,53136.687436676795
NJ,34,Gloucester,15,14990,6,1,86949,9504.91029272899,71993.9996448733,73693.33696392103
