Zip,AGI Bracket,Filers,Itemizers,AGI,SLIncomeTax,PropertyTax,MortgageInterest,Contributions,contrib + mortgage,Total SALT,Exhibit: S-L Income Tax Effective Rate
10701,"$100,000 under $200,000",2720,730,134206.9565,8786.697248,6637.654321,8821.830986,3621.153846,12442.98483,15424.35157,0.06547125
10703,"$100,000 under $200,000",1430,2300,135284.8,8745.833333,6846.808511,9292.682927,3480.530973,12773.2139,15592.64184,0.064647568
10704,"$100,000 under $200,000",2760,1250,135029.4118,8864.912281,7063.313609,9262.837838,3141.666667,12404.5045,15928.22589,0.065651714
10705,"$100,000 under $200,000",1540,2380,136889.1473,8926.446281,8145.652174,9480.519481,4039.655172,13520.17465,17072.09845,0.065209306
10706,"$100,000 under $200,000",1000,1290,145162.2222,8514.814815,13761.03896,10083.33333,3185.185185,13268.51852,22275.85378,0.058657237
10707,"$100,000 under $200,000",1130,900,143469.697,8484.782609,10748.75,9792.1875,3397.802198,13189.9897,19233.53261,0.059139894
10708,"$100,000 under $200,000",2370,990,140075.7143,8907.216495,8820.348837,8309.210526,3460.732984,11769.94351,17727.56533,0.063588585
10709,"$100,000 under $200,000",1070,2100,144404.0404,8037.362637,14397.67442,10045.07042,2855.913978,12900.9844,22435.03706,0.055658849
10710,"$100,000 under $200,000",2940,990,137088.3459,8653.629032,8431.651376,9882.795699,3382.520325,13265.31602,17085.28041,0.063124469
10801,"$100,000 under $200,000",2410,2660,138168.4211,7941,10284.51613,10334.55882,3693.548387,14028.10721,18225.51613,0.057473335
10803,"$100,000 under $200,000",1030,2090,144583.871,8454.651163,16848.05195,11118.33333,3289.411765,14407.7451,25302.70311,0.058475756
10804,"$100,000 under $200,000",1460,930,146781.295,8083.064516,16219.5122,11936.84211,4386.046512,16322.88862,24302.57671,0.055068764
10805,"$100,000 under $200,000",1320,1390,133735.5769,7657.142857,8357.575758,8918.965517,3507.446809,12426.41233,16014.71861,0.05725584
10901,"$100,000 under $200,000",2430,1040,142406.25,7973.399015,12754.90196,9538.011696,3424.757282,12962.76898,20728.30098,0.055990513
10913,"$100,000 under $200,000",620,2240,144852.6316,7733.962264,12139.62264,10730.95238,3001.886792,13732.83917,19873.58491,0.053391935
10916,"$100,000 under $200,000",540,570,141587.7551,7600,10008.33333,9251.162791,2600,11851.16279,17608.33333,0.053676958
10917,"$100,000 under $200,000",210,490,139870,7705.263158,11550,9182.352941,2883.333333,12065.68627,19255.26316,0.055088748
10918,"$100,000 under $200,000",1210,200,141289.2857,7853.271028,9732.692308,8918.085106,2907.76699,11825.8521,17585.96334,0.05558292
10919,"$100,000 under $200,000",110,1120,138970,7280,8744.444444,8310,2211.111111,10521.11111,16024.44444,0.052385407
10920,"$100,000 under $200,000",1070,100,142752.0408,7863.043478,10789.88764,9519.736842,2990.217391,12509.95423,18652.93112,0.055081829
10921,"$100,000 under $200,000",480,980,136636.3636,7666.666667,9914.634146,8552.777778,2546.153846,11098.93162,17581.30081,0.056110002
10923,"$100,000 under $200,000",820,440,136737.8378,7305.797101,11490.76923,9426.315789,2789.855072,12216.17086,18796.56633,0.053429228
10924,"$100,000 under $200,000",1340,740,141591.6667,7992.727273,10260.90909,9039.583333,2655.963303,11695.54664,18253.63636,0.056449136
10925,"$100,000 under $200,000",520,1200,134682.9787,7506.666667,8286.046512,7705.128205,2357.142857,10062.27106,15792.71318,0.055735823
10926,"$100,000 under $200,000",370,470,133559.375,7638.709677,8785.185185,8600,3079.310345,11679.31034,16423.89486,0.057193362
10927,"$100,000 under $200,000",430,320,133589.1892,7388.235294,10058.06452,9396.428571,3423.529412,12819.95798,17446.29981,0.055305638
10928,"$100,000 under $200,000",300,370,133954.1667,6945.454545,8442.857143,7255.555556,3409.52381,10665.07937,15388.31169,0.051849485
10930,"$100,000 under $200,000",1120,240,141250,8013.131313,11394.94949,9071.910112,2984.693878,12056.60399,19408.08081,0.056730133
10931,"$100,000 under $200,000",80,1060,139514.2857,7471.428571,11883.33333,8720,4366.666667,13086.66667,19354.7619,0.053553144
10940,"$100,000 under $200,000",3060,70,134642.8044,7322.265625,7491.093117,8245.132743,3204.098361,11449.2311,14813.35874,0.054382896
10941,"$100,000 under $200,000",1110,2710,134791.7526,7451.648352,7910.11236,8704.938272,3155.813953,11860.75223,15361.76071,0.055282673
10950,"$100,000 under $200,000",3330,970,140557.5563,7618.305085,9661.672474,8856.756757,4671.972318,13528.72908,17279.97756,0.054200609
10952,"$100,000 under $200,000",1530,3110,143026.6187,7503.225806,13870.4918,10615.21739,10546.56489,21161.78228,21373.71761,0.052460345
10954,"$100,000 under $200,000",2670,1390,140431.7992,7642.600897,10845.93301,9735,3144.79638,12879.79638,18488.53391,0.054422153
10956,"$100,000 under $200,000",4010,2390,144870.7124,7804.719764,12761.64773,10208.80282,3367.696629,13576.49945,20566.36749,0.053873689
10958,"$100,000 under $200,000",340,3790,139036.6667,7517.857143,7839.285714,8145.833333,2432.142857,10577.97619,15357.14286,0.05407104
10960,"$100,000 under $200,000",1400,300,140329.7521,7618.181818,13182.82828,10908.43373,2887.850467,13796.2842,20801.0101,0.054287717
10962,"$100,000 under $200,000",570,1210,145219.2308,8182.978723,11961.70213,9848.717949,3352.083333,13200.80128,20144.68085,0.05634914
10963,"$100,000 under $200,000",220,520,136845,7294.444444,8173.684211,7847.058824,3038.888889,10885.94771,15468.12865,0.053304428
10964,"$100,000 under $200,000",170,200,148726.6667,10250,14628.57143,11718.18182,3771.428571,15489.61039,24878.57143,0.068918374
10965,"$100,000 under $200,000",1950,150,145394.4751,7954.491018,10703.61446,9850,2752.631579,12602.63158,18658.10548,0.05470972
10968,"$100,000 under $200,000",310,1810,139596.2963,8487.5,13436.36364,10547.05882,2764,13311.05882,21923.86364,0.060800324
10969,"$100,000 under $200,000",100,270,137866.6667,8150,9575,10057.14286,2187.5,12244.64286,17725,0.059115087
10970,"$100,000 under $200,000",1020,90,139272.5275,7631.707317,11404.81928,10163.76812,3933.333333,14097.10145,19036.52659,0.054796933
10973,"$100,000 under $200,000",240,910,135995.4545,7825,8200,8261.111111,3115,11376.11111,16025,0.057538688
10974,"$100,000 under $200,000",330,220,141796.6667,7778.571429,11739.28571,8644,2560.714286,11204.71429,19517.85714,0.054857223
10976,"$100,000 under $200,000",150,300,139442.8571,7775,11100,10730,4623.076923,15353.07692,18875,0.055757607
10977,"$100,000 under $200,000",2330,20,137272.4299,7117.171717,10821.80851,9690,6403,16093,17938.98023,0.051847059
10980,"$100,000 under $200,000",1560,140,140251.049,7446.153846,11716.79389,9990.350877,2900,12890.35088,19162.94774,0.053091609
10983,"$100,000 under $200,000",810,2140,143552.6316,7770.588235,10945.71429,10208.77193,2952.112676,13160.88461,18716.30252,0.054130587
10984,"$100,000 under $200,000",360,1430,140771.4286,7541.935484,12250,9744.444444,3156.25,12900.69444,19791.93548,0.053575754
10985,"$100,000 under $200,000",40,760,144450,13233.33333,10166.66667,6700,2266.666667,8966.666667,23400,0.091611861
10986,"$100,000 under $200,000",210,350,145621.0526,8147.058824,14038.88889,9068.75,2683.333333,11752.08333,22185.94771,0.055946985
10987,"$100,000 under $200,000",400,40,145797.2973,7526.470588,11802.85714,10278.57143,3087.878788,13366.45022,19329.32773,0.05162284
10989,"$100,000 under $200,000",1220,190,140878.7611,7536.893204,11817.47573,9504.597701,2999.047619,12503.64532,19354.36893,0.053499145
10990,"$100,000 under $200,000",2240,370,140737.6812,7863.076923,9962.694301,9021.176471,2703.664921,11724.84139,17825.77122,0.055870445
10992,"$100,000 under $200,000",1130,1130,141362.2642,7673,9640.40404,8584.615385,3020.20202,11604.8174,17313.40404,0.054278983
10993,"$100,000 under $200,000",290,2070,140376.9231,7580,9554.166667,8850,2800,11650,17134.16667,0.053997479
10994,"$100,000 under $200,000",900,1060,144253.5714,7598.701299,14548.05195,10620.3125,2992.5,13612.8125,22146.75325,0.052676001
10996,"$100,000 under $200,000",260,260,145214.2857,5083.333333,5500,9420,7266.666667,16686.66667,10583.33333,0.035005739
10998,"$100,000 under $200,000",360,840,140982.3529,7715.625,8628.125,9460,2800,12260,16343.75,0.054727594
