,zip,Filers,Itemizers,AGI,pre-tcja-tax,current-law-tax
940,13486,50,250,144875.0,26032.08,24363.5
941,13490,80,60,143320.0,26595.35,24499.5
942,13491,190,30,173925.0,33599.01,31399.26
943,13492,930,70,137436.2319,24332.65,22964.66
944,13493,50,40,127733.3333,22625.42,21133.5
945,13495,70,40,171525.0,33953.75,31327.5
946,13501,900,390,134374.1935,23589.55,22225.99
947,13502,980,650,133904.6154,23719.46,22190.91
948,13601,1350,0,134885.8696,23520.56,21961.81
949,13605,250,90,133222.2222,23021.94,21664.43
950,13606,170,30,138576.9231,24396.96,22903.96
951,13607,90,400,149160.0,24527.55,25131.1
952,13608,60,100,131250.0,23050.08,21525.5
953,13612,140,240,156000.0,28967.34,27010.5
954,13613,100,260,118966.6667,19240.22,18425.5
955,13617,520,190,134181.5789,23334.65,22241.41
956,13618,120,160,159122.2222,28741.97,27619.26
957,13619,380,50,130650.0,22492.12,20995.0
958,13620,70,250,132740.0,21973.95,20987.1
959,13622,140,130,144145.4545,26136.59,24399.08
960,13624,290,140,137076.1905,23811.17,22454.1
961,13625,130,280,170112.5,32197.92,30368.5
962,13626,100,290,143757.1429,26131.28,24308.81
963,13634,250,170,142544.4444,25160.97,23664.5
964,13637,120,460,163814.2857,31974.08,28932.93
965,13640,60,350,197760.0,36000.25,35996.7
966,13642,280,70,133825.0,23432.28,21743.5
967,13646,70,800,146720.0,25795.95,24708.3
968,13648,90,590,150640.0,28223.55,26231.1
969,13650,80,1420,221920.0,45528.28,45381.18
970,13654,80,1000,150400.0,28622.08,26265.5
971,13656,100,490,134142.8571,23515.68,22148.59
972,13658,110,0,173133.3333,33943.95,31411.1
973,13660,90,60,124833.3333,21190.88,20289.5
974,13661,80,130,126740.0,21968.35,20801.1
975,13662,650,90,134188.8889,23703.16,22351.82
976,13664,40,120,158100.0,28510.08,27513.5
977,13667,120,0,148014.2857,27441.55,25507.33
978,13668,160,0,143300.0,25965.25,24638.83
979,13669,690,40,134754.7619,23729.22,22364.36
980,13673,80,170,133480.0,23606.35,21938.7
981,13676,640,120,138200.0,24390.08,23289.27
982,13679,90,50,186133.3333,36670.22,34647.37
983,13682,60,30,125260.0,20984.15,19899.9
984,13685,170,60,132171.4286,22414.82,21171.92
985,13691,140,50,151400.0,28341.55,26258.19
986,13693,40,610,142000.0,23997.42,22657.5
987,13694,120,60,182925.0,36066.08,34261.31
988,13697,80,30,134700.0,24234.95,22471.5
989,13730,110,280,153628.5714,29164.75,27159.21
990,13731,70,50,255720.0,56756.56,56905.06
991,13732,690,60,135125.0,23586.9,22373.45
992,13733,240,60,146625.0,26662.59,25086.73
993,13734,90,0,140666.6667,25129.08,23519.5
994,13736,110,60,146962.5,26872.78,25378.1
995,13739,40,30,123966.6667,20429.75,19211.5
996,13743,200,50,145960.0,26195.45,24966.45
997,13744,60,40,155700.0,29546.08,27549.5
998,13746,170,30,141553.8462,25219.85,23811.3
999,13748,180,130,134500.0,23610.21,22322.23
1000,13753,210,240,133478.5714,22767.87,21681.45
1001,13754,110,50,158100.0,29881.55,27711.9
1002,13757,50,280,159975.0,30953.08,28467.5
1003,13760,2730,60,136752.6066,23779.03,22709.91
1004,13775,90,200,272250.0,64751.75,64900.25
1005,13777,40,160,132733.3333,23540.08,22101.5
1006,13778,260,30,130610.0,22642.53,21401.64
1007,13780,60,240,146175.0,26139.42,24947.5
1008,13783,90,30,166783.3333,30905.95,29251.1
1009,13787,120,0,145985.7143,26661.28,24735.67
1010,13788,50,90,146733.3333,25677.42,24773.5
1011,13790,610,220,136461.3636,23738.87,22686.91
1012,13795,190,250,158361.5385,29519.45,27798.67
1013,13796,60,30,156125.0,29177.42,27263.5
1014,13797,80,50,159700.0,30219.95,28139.1
1015,13802,40,310,160125.0,30173.75,28429.5
1016,13803,170,0,144833.3333,26398.05,24711.37
1017,13807,80,110,174920.0,32760.95,30902.7
1018,13808,80,80,165600.0,31158.88,29516.7
1019,13810,40,60,163800.0,30936.75,29257.5
1020,13811,200,70,137933.3333,24690.08,23159.21
1021,13812,90,1050,150760.0,27512.35,25755.9
1022,13815,550,90,137930.5556,24717.89,23201.4
1023,13820,900,100,133330.1587,22927.28,21644.43
1024,13825,160,70,148500.0,27209.7,25518.3
1025,13827,650,450,139461.2245,24495.06,23202.12
1026,13830,190,120,154038.4615,27674.94,26453.66
